id	name
UniRef90_A0A1X2H769	UniRef90_A0A1X2H769 3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein
UniRef90_W9WFD3	UniRef90_W9WFD3 7-alpha-hydroxysteroid dehydrogenase
UniRef90_K1WTM4	UniRef90_K1WTM4 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A0L1IYC4	UniRef90_A0A0L1IYC4 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q3EPI8	UniRef90_A0A1Q3EPI8 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_A0A0A1UI08	"UniRef90_A0A0A1UI08 3-beta hydroxysteroid dehydrogenase/isomerase family containing protein, putative"
UniRef90_A0A1Q3DXV3	UniRef90_A0A1Q3DXV3 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_A0A1Q3E2M5	UniRef90_A0A1Q3E2M5 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_A0A225Y634	UniRef90_A0A225Y634 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A1Q3E2M3	UniRef90_A0A1Q3E2M3 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_A0A1Q3ESG5	UniRef90_A0A1Q3ESG5 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_S9Q0A0	UniRef90_S9Q0A0 3 beta-hydroxysteroid dehydrogenase/delta 5-4-isomerase
UniRef90_N4UJE3	UniRef90_N4UJE3 3 beta-hydroxysteroid dehydrogenase type 7
